"","country_name","2016","2017","2015"
"148","El Salvador",0,0,NA
"149","San Marino",NA,NA,0
"150","Serbia",2.46913580246914,6.66666666666667,0
"151","São Tomé & Príncipe",NA,0,0
"152","Suriname",0,0,NA
"153","Slovakia",48.780487804878,20,0
"154","Slovenia",34.2105263157895,25,0
"155","Sweden",31.1890838206628,17.5392670157068,0
"156","Seychelles",0,100,NA
"157","Syria",0,0,NA
"158","Togo",NA,0,NA
"159","Thailand",25,58.3333333333333,0
"160","Tajikistan",100,0,NA
"161","Tunisia",56,55.5555555555556,0
"162","Turkey",47.1337579617834,40,7.69230769230769
"163","Taiwan",36.3636363636364,24,0
"164","Tanzania",50,100,NA
"165","Uganda",0,NA,NA
"166","Ukraine",34.8837209302326,23.0769230769231,16.6666666666667
"167","United States Minor Outlying Islands (the)",NA,100,NA
"168","Uruguay",38.8888888888889,14.2857142857143,NA
"169","United States",25.4237288135593,26.7682263329706,0
"170","Uzbekistan",100,0,NA
"171","Venezuela",73.3333333333333,25,0
"172","British Virgin Islands",100,NA,NA
"173","Vietnam",40,0,NA
"174","South Africa",48.7179487179487,31.578947368421,0
"175","Zambia",100,NA,0
"176","Zimbabwe",NA,66.6666666666667,0
